Job Title,text
Accounting technician,Accounting technicians handle daytoday money and finance tasks for all types of business
Admin assistant,Admin assistants give support to businesses by organising meetings typing documents and updating computer records
Arts administrator,Arts administrators help organise exhibitions manage staff and look after buildings like museums
Assistant immigration officer,Assistant immigration officers check that people have the right to visit or stay in the UK
Auditor,Internal and external auditors check organisations financial records and procedures to make sure they are accurate and efficient
Bid writer,Bid writers prepare documents used to request contracts to provide services or apply for funding
Bilingual secretary,Bilingual secretaries provide administrative services in English and one or more foreign languages
Bookkeeper,Bookkeepers keep financial records up to date and help prepare accounts
Border Force officer,Border Force officers protect UK border entry points like ports and airports by enforcing immigration and customs regulations
Car rental agent,Car rental agents hire out vehicles to businesses and the public
Charity fundraiser,Charity fundraisers organise events and activities to encourage people to donate to causes and organisations
Civil Service administrative officer,Civil Service administrative officers work in government departments carrying out policies and running services for the public
Civil Service executive officer,Civil Service executive officers work in government departments that develop policies and provide services to the public
Credit controller,Credit controllers help firms get the money they are owed from businesses and individuals
Data entry clerk,Data entry clerks type information into databases and systems and create letters reports and other documents
Diplomatic Service officer,Diplomatic Service officers help to promote and protect British interests businesses and citizens overseas
Estates officer,Estates officers are responsible for managing and upkeeping land and property that belongs to local councils and public bodies
Farm secretary,Farm secretaries are responsible for the daytoday running of the business side of farms
Finance officer,Finance officers help to manage the finances of an organisation by keeping track of its income and controlling its spending
Financial services customer adviser,Financial services customer advisers work in contact centres for banks insurance investment and credit companies
GP practice manager,GP practice managers run the business side of doctors surgeries and health centres
Health and safety adviser,Health and safety advisers work to reduce accidents injury and health problems in the workplace
Health records clerk,Health records clerks keep medical records up to date
Health service manager,Health service managers run local healthcare services like hospitals GP practices and community health services
Human resources officer,Human resources HR officers hire develop and look after employees in a company
Immigration officer,Immigration officers make decisions on whether people have the right to visit or stay in the UK
Import-export clerk,Importexport clerks ship goods to and from the UK by road rail air and sea
Insurance broker,Insurance brokers use their knowledge of the insurance market to help find the right cover at the best price for their customers
Insurance technician,Insurance technicians give administrative support in all types of insurance work
Interpreter,Interpreters change spoken words from one language into another either facetoface or remotely
Local government administrative assistant,Local government administrative assistants provide office support in council departments and give information to the public
Local government officer,Local government officers put council policies into practice and provide local services
Local government revenues officer,Revenues and benefits officers work for local councils and deal with housing benefits rents council tax and business rates
Medical secretary,Medical secretaries provide office support in hospitals GP surgeries private clinics and universities
Office manager,Office managers oversee the daytoday running of an office or department
Payroll administrator,Payroll administrators make sure employees get paid the right amount on the right date
Personal assistant,Personal assistants carry out support tasks for individuals and managers including administration diary management and event planning
Post Office customer service assistant,Post Office customer service assistants help customers in post offices and at counters in shops
Proofreader,Proofreaders check text before its printed or published to make sure its correct and complete
Purchasing manager,Purchasing managers buy equipment goods and services for their company
Quality control assistant,Quality control assistants check that a companys services or products meet necessary standards
Receptionist,Receptionists are the first point of contact for visitors to organisations
Recruitment consultant,Recruitment consultants help employers find suitable staff and match people to permanent and temporary jobs
