positive,negative,neutral,other,class,class_name
0.9515702128410339,0.0013705765595659614,0.038947105407714844,0.008112115785479546,1,positive
0.9676497578620911,0.0009385640732944012,0.024736443534493446,0.0066752005368471146,1,positive
0.06928359717130661,0.009897472336888313,0.912504255771637,0.008314588107168674,3,neutral
0.21228140592575073,0.006471406202763319,0.7724517583847046,0.008795436471700668,3,neutral
0.9291023015975952,0.0037021583411842585,0.02668280340731144,0.04051276296377182,1,positive
0.9641530513763428,0.0011064652353525162,0.028860921040177345,0.005879546049982309,1,positive
0.6358757019042969,0.030340349301695824,0.06826935708522797,0.26551467180252075,1,positive
0.27208027243614197,0.05593223497271538,0.3437049686908722,0.3282824456691742,3,neutral
0.35680097341537476,0.07492749392986298,0.050503481179475784,0.5177680850028992,4,other
0.9039372205734253,0.0019838910084217787,0.0831851214170456,0.010893736034631729,1,positive
0.9692742228507996,0.0010137036442756653,0.020813843235373497,0.008898250758647919,1,positive
0.032140638679265976,0.04644715040922165,0.8909783363342285,0.03043392300605774,3,neutral
0.27575746178627014,0.061037663370370865,0.5700910091400146,0.09311389178037643,3,neutral
0.8041756749153137,0.0035415475722402334,0.1793975681066513,0.012885265052318573,1,positive
0.12601622939109802,0.0173039473593235,0.832175612449646,0.0245041660964489,3,neutral
0.005725691560655832,0.7586358189582825,0.04622621089220047,0.18941225111484528,2,negative
0.057296574115753174,0.26607900857925415,0.054816242307424545,0.6218081712722778,4,other
0.34936606884002686,0.04463175684213638,0.09605726599693298,0.5099449157714844,4,other
0.01586819440126419,0.5020356178283691,0.025609487667679787,0.45648667216300964,2,negative
0.31241852045059204,0.0782812163233757,0.1874663531780243,0.42183393239974976,4,other
0.9356862902641296,0.002255696104839444,0.03957333788275719,0.022484734654426575,1,positive
0.6828433275222778,0.02315833419561386,0.10552146285772324,0.18847690522670746,1,positive
0.0007163129630498588,0.9505823850631714,0.010614326223731041,0.038087040185928345,2,negative
0.09270286560058594,0.20171178877353668,0.15938284993171692,0.5462024807929993,4,other
0.016051949933171272,0.46304723620414734,0.16141057014465332,0.3594902455806732,2,negative
0.10730632394552231,0.01110867690294981,0.8692127466201782,0.012372207827866077,3,neutral
0.26393625140190125,0.006796683184802532,0.7180967330932617,0.011170241981744766,3,neutral
0.349797785282135,0.0683729499578476,0.21687984466552734,0.36494943499565125,4,other
0.8537445664405823,0.008048444986343384,0.054637759923934937,0.08356918394565582,1,positive
0.5227143168449402,0.03619779646396637,0.13515496253967285,0.3059329092502594,1,positive
0.40504133701324463,0.04189296439290047,0.27947065234184265,0.27359509468078613,1,positive
0.016753224655985832,0.5128945112228394,0.09313411265611649,0.3772181570529938,2,negative
0.0007066363468766212,0.9629961252212524,0.005598353687673807,0.03069894388318062,2,negative
0.06619368493556976,0.006872371770441532,0.9213148951530457,0.005619051866233349,3,neutral
0.6495518088340759,0.0036720538046211004,0.33651453256607056,0.010261716321110725,1,positive
0.1935482770204544,0.1504082977771759,0.08483916521072388,0.5712042450904846,4,other
0.12666156888008118,0.2758270800113678,0.06745535135269165,0.5300559401512146,4,other
0.5656315088272095,0.027196086943149567,0.0415918193757534,0.36558058857917786,1,positive
0.8252308964729309,0.008721787482500076,0.02224412001669407,0.1438031941652298,1,positive
0.10730258375406265,0.16596810519695282,0.04232326149940491,0.6844061017036438,4,other
0.36863014101982117,0.04899832606315613,0.05052175000309944,0.5318498015403748,4,other
0.3004183769226074,0.09427183121442795,0.03169628977775574,0.5736135244369507,4,other
0.013501940295100212,0.6514368057250977,0.020085418596863747,0.3149757981300354,2,negative
0.6989577412605286,0.004823997151106596,0.2812194526195526,0.014998744241893291,1,positive
0.37042003870010376,0.05828763172030449,0.3312545716762543,0.240037739276886,1,positive
0.020436467602849007,0.5014618039131165,0.015692075714468956,0.4624096155166626,2,negative
